pair_id,folder,role,sub_order,label,username,duration_sec
23,2021.09.15.13.12.49_veh-39_00135_00467,sub,2,follow the vehicle ahead of you. make the right turn and move into the far right lane and go straight. at the stopsign make a left turn,parthib,83.8
23,2021.09.15.13.12.49_veh-39_00135_00467,sub,3,Turn right at the intersection. Merge into the middle lane. Stop at the stop sign. Turn left. Merge onto the left lane to avoid the red vehicle. At the next stop sign make a stop. Look for oncoming traffic.,giovanni,73
24,2021.09.15.15.02.19_veh-39_01107_01666,L,,Head towards Seaport Common.,grod,126.9
24,2021.09.15.15.02.19_veh-39_01107_01666,sub,1,Merge one lane to the left. Wait for the vehicle to pass before crossing the intersection. Stop at the red light. At the next traffic light make a stop. Slow down to avoid the black vehicle merging into the left lane.,giovanni,98.2
25,2021.09.15.16.51.15_veh-28_00005_00160,L,,Make a U-turn.,grod,65.9
25,2021.09.15.16.51.15_veh-28_00005_00160,sub,1,Make a U-Turn at the end of the road. Make a stop the upcoming stop sign.,giovanni,41.3
25,2021.09.15.16.51.15_veh-28_00005_00160,sub,2,"when you are close to the parked big-size car thats facing you, make a u-turn and just follow the road forward",parthib,60.4
25,2021.09.15.16.51.15_veh-28_00005_00160,sub,3,Make a U-Turn by the parking lot. Stop for the upcoming stop sign. At the next stop sign make another stop .,giovanni,57.9
26,2021.09.15.16.51.15_veh-28_00005_00160,L,,do a u turn.,Isaiah Ramirez,69.9
26,2021.09.15.16.51.15_veh-28_00005_00160,sub,1,Make a U-Turn at the end of the road. Make a stop the upcoming stop sign.,giovanni,41.3
26,2021.09.15.16.51.15_veh-28_00005_00160,sub,2,"when you are close to the parked big-size car thats facing you, make a u-turn and just follow the road forward",parthib,60.4
26,2021.09.15.16.51.15_veh-28_00005_00160,sub,3,Make a U-Turn by the parking lot. Stop for the upcoming stop sign. At the next stop sign make another stop .,giovanni,57.9
27,2021.10.06.14.31.13_veh-28_00738_00908,L,,Head towards Flaherty Park,grod,27
27,2021.10.06.14.31.13_veh-28_00738_00908,sub,1,"Stop at the red traffic light, then proceed once it turns green and continue forward. Take a slight left to avoid hitting the van, then return to the original lane and proceed. Take another slight left to avoid the construction site.",giovanni,47.1
28,2021.10.11.05.34.05_veh-50_00697_00766,L,,Drop me off at the last building.,grod,24.5
28,2021.10.11.05.34.05_veh-50_00697_00766,sub,1,Merge to the right lane to avoid the vehicles. Merge back to the left lane. Enter the building and turn left.,giovanni,26.6
29,2021.10.11.07.12.18_veh-50_00345_00498,L,,Pull up in front of this preschool.,grod,46.6
29,2021.10.11.07.12.18_veh-50_00345_00498,sub,1,make a right turn at the stoplight toward the preschool. enter in the entrance of the building on the left and head back the opposite direction. at the stopsign make a right turn and go straight,parthib,74.6
30,2021.06.14.17.26.26_veh-38_04544_04920,L,,Head toward the Luxor.,grod,178.2
30,2021.06.14.17.26.26_veh-38_04544_04920,sub,1,Turn left. Prepare to stop behind a vehicle at a red light. Procced. Follow the white vehicle and prepare to stop at the upcoming red light.,giovanni,56.5
30,2021.06.14.17.26.26_veh-38_04544_04920,sub,2,Merge one lane to the right side. Merge to the right lane. Merge to the right turning lane and make a stop at the red traffic light.,giovanni,94.6
