folder,start_frame,end_frame,label,commentary,username,source_file,duration_sec
2021.06.14.13.27.42_veh-35_00353_00531,18,880,follow the same path as the white suv in front of you,Dynamic Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,86.2
2021.08.17.15.02.08_veh-45_00167_00480,13,1006,when the light turns green make a left. you will make another left at the next stoplight onto the bridge. make a right turn at the second stoplight,Static Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,99.3
2021.06.23.14.58.13_veh-35_01130_01820,836,1866,follow the white vehicle in front of you,Dynamic Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,103.0
2021.06.09.14.50.36_veh-26_05825_05901,10,362,make the right turn at the intersection,Non-Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,35.2
2021.06.09.12.51.31_veh-35_03487_03821,1170,1614,,Non-Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,44.4
2021.10.01.17.52.06_veh-28_00675_00737,33,283,when the light turns green make a right turn,Static Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,25.0
2021.06.09.14.50.36_veh-26_01782_02044,71,1068,when the light turns green make a left turn. you will switch right lane after it,Static Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,99.7
2021.06.14.16.48.02_veh-12_02679_02850,35,748,,Non-Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,71.3
2021.07.09.20.59.12_veh-38_00113_00669,385,1640,"make the left turn into the entrance. exit, get back on the road, and make the left turn at the intersection.",Static Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,125.5
2021.06.14.18.42.45_veh-12_01065_01152,11,419,make the first left after the stopsign,Static Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,40.8
2021.10.06.17.43.07_veh-28_00508_00877,656,1565,"at the second intersection, make a right turn, then a left turn at the next",Non-Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,90.9
2021.10.11.05.34.05_veh-50_00189_00398,246,570,,Non-Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,32.4
2021.09.15.14.50.05_veh-28_00083_00152,37,241,make a left turn at the intersection,Non-Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,20.4
2021.08.17.17.17.01_veh-45_02314_02798,15,2268,"after the third stopsign, stop at the curb, let the two vehicle pass then get back on the road. at the next intersection make a left turn. at the next two stoplights make a right turn and a left turn respectively. make three more left turns and then a right. finally make a left turn toward the goodwill",Static Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,225.3
2021.06.09.14.58.55_veh-35_03927_04034,87,479,make the left turn at the intersection,Static Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,39.2
2021.09.15.15.34.53_veh-28_01533_01596,11,306,,Non-Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,29.5
2021.10.01.14.20.36_veh-28_00243_00388,401,619,,Non-Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,21.8
2021.06.14.16.32.09_veh-35_04749_05027,58,1158,,Non-Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,110.0
2021.09.15.14.27.22_veh-39_00473_00568,186,452,make a right turn at this stopsign and go straight,Static Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,26.6
2021.06.14.18.33.41_veh-35_04905_05090,0,911,make the right turn at the intersection between luxor and excalibur. slow down to let the pedestrians cross the crosswalk.,Both,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,91.1
2021.06.14.16.32.09_veh-35_00429_00563,308,648,follow the white vehicle in front of you,Dynamic Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,34.0
2021.05.12.22.28.35_veh-35_00025_00115,8,343,,Non-Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,33.5
2021.07.16.18.06.21_veh-38_04471_04922,281,1351,,Non-Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,107.0
2021.07.16.01.22.41_veh-14_04315_07102,835,1964,head toward luxor las vegas,Static Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,112.9
2021.07.16.16.27.22_veh-26_05058_05383,328,1464,head toward big apple coaster,Static Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,113.6
2021.09.15.14.27.22_veh-39_00473_00568,14,404,make a right turn at the stoplight. make a right turn at the stopsign.,Static Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,39.0
2021.09.15.11.49.23_veh-28_01108_01493,22,1576,switch lanes to the right so you can make a right turn at the stoplight. when you approach the next stoplight make another right turn. at the stoplight right after iron street park make a left turn. when you approach the flashing stoplights make a right turn again.,Static Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,155.4
2021.06.23.15.56.12_veh-16_01308_04289,167,1810,head toward the eifel tower,Non-Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,164.3
2021.07.16.01.22.41_veh-14_00572_01716,458,1245,go into the entrance of paris las vegas,Static Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,78.7
2021.06.14.18.42.45_veh-12_00547_00777,20,364,dont make the right turn into paris las vegas until all the people have crossed the road,Both,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,34.4
2021.07.16.01.22.41_veh-14_04315_07102,475,2240,make a left at the stoplight to go toward luxor las vegas. switch lanes as you need to enter from the east side.,Static Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,176.5
2021.06.14.18.33.41_veh-35_00573_00643,38,271,,Non-Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,23.3
2021.10.11.07.47.13_veh-50_01513_02138,97,1551,"complete the right turn. at the next stoplight also make a right turn when its green. you will make the right turn at the next intersection, then again at the second right and then a left turn. then make a left and go toward your starting path",Static Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,145.4
2021.06.14.17.26.26_veh-38_05281_05444,43,275,,Non-Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,23.2
2021.06.09.14.03.17_veh-12_03798_04118,42,1588,when the light turns green make a left turn. head toward the east side entrance of luxor las vegas,Static Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,154.6
2021.10.11.05.34.05_veh-50_01281_01692,512,2036,get back on the main road when the road is clear. make the first left at the intersection. switch to the right lane to pass the blue vehicle. make a right turn at the second stoplight and make the first left turn.,Static Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,152.4
2021.06.09.12.51.31_veh-35_02677_02842,0,817,head toward paris las vegas entrance. make a right lane switch once you pass veer towers,Static Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,81.7
2021.06.09.12.51.31_veh-35_02975_03207,16,990,make a left turn when the light turns green. after two stoplights switch to the right lane,Static Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,97.4
2021.07.09.20.59.12_veh-38_07245_07341,129,457,make the right turn at the intersection. youll enter the entrance of luxor from the east side,Static Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,32.8
2021.07.09.16.12.19_veh-26_05071_05149,142,327,make a right turn at the stoplight,Static Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,18.5
2021.06.23.14.54.32_veh-16_00862_01000,98,314,,Non-Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,21.6
2021.06.09.19.40.26_veh-12_01525_02020,238,2224,complete the right turn when there are no more people crossing. go around the roundabout. and then make a left turn at the stoplight when it turns green.,Both,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,198.6
2021.07.16.16.08.35_veh-35_01664_02376,539,2471,get back on the road and make a left turn at the stoplight and then just go straight,Static Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,193.2
2021.05.12.19.36.12_veh-35_00005_00204,207,803,,Non-Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,59.6
2021.07.16.22.40.23_veh-38_00204_00360,46,682,,Non-Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,63.6
2021.09.15.14.00.15_veh-28_01274_01543,332,1278,make a right turn at this intersection and a left turn at the second stoplight. at the end of the road at the stopsign make a left turn,Static Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,94.6
2021.10.01.13.28.54_veh-28_01767_01883,44,273,,Non-Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,22.9
2021.06.14.16.32.09_veh-35_02537_02597,23,254,,Non-Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,23.1
2021.06.14.16.32.09_veh-35_02435_02526,60,360,,Non-Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,30.0
2021.10.01.19.16.42_veh-28_00274_00380,49,510,just go straight,Non-Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,46.1
2021.09.15.12.32.43_veh-28_01513_01697,608,870,at the flashing stoplights make a left turn,Static Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,26.2
2021.10.01.17.52.06_veh-28_00450_00599,159,543," at the stopsign, make a left turn",Static Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,38.4
2021.06.14.16.48.02_veh-12_03091_03461,48,524,head toward exit to makea left turn,Static Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,47.6
2021.10.06.14.31.13_veh-28_00014_00079,0,319,at the stopsign make a right turn. youll want to weave around the parked vehicles,Static Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,31.9
2021.07.09.15.53.28_veh-38_03528_04262,997,1184,after you pass the stoplight switch to the right lane,Static Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,18.7
2021.06.14.13.28.41_veh-12_02845_03153,9,847,make the first left turn after the stopsign. you will exit and head back on the road to make a left turn.,Static Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,83.8
2021.07.09.16.12.19_veh-26_02985_03053,9,169,,Non-Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,16.0
2021.07.09.01.37.16_veh-26_01336_01396,5,196,head toward exit to prepare a right turn at the stopsign,Static Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,19.1
2021.06.09.12.06.35_veh-35_00149_00262,121,394,,Non-Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,27.3
2021.06.23.14.58.13_veh-35_01831_02026,188,838,follow the white vehicle in front of you,Dynamic Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,65.0
2021.06.09.12.51.31_veh-35_01729_02626,696,1428,head toward the exit to make a left turn at the stoplight,Static Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,73.2
2021.06.14.19.22.11_veh-38_02466_02675,165,977,,Non-Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,81.2
2021.06.14.13.28.41_veh-12_04719_04892,197,367,,Non-Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,17.0
2021.08.17.18.44.32_veh-08_00016_00564,255,1468,when the light turns green make a left turn. do the same at the next stoplight and stopsign. after the stoplight temporarily park behind the parked silver vehicle. then head back on main road and continue straight,Static Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,121.3
2021.10.11.07.47.13_veh-50_00326_00708,21,1776,switch to the right lane to avoid the parked prius then go back on the same lane. do the same with that red vehicle in front. at the next  stoplight make a right turn then at the next four intersections make left turns and then finally make a left turn at the intersection with the solaris south tower rooftop,Static Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,175.5
2021.10.11.02.57.41_veh-50_02428_02548,31,237,when the light turns green make a left turn,Static Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,20.6
2021.06.14.16.48.02_veh-12_02517_02590,126,295,,Non-Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,16.9
2021.09.15.16.17.26_veh-28_00586_00712,24,446,make a right turn at the stopsign and just follow the road,Static Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,42.2
2021.09.15.14.50.05_veh-28_01511_01690,35,535,at the stoplight make a left turn,Static Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,50.0
2021.07.09.20.59.12_veh-38_02064_03281,650,1806,go to the entrance of paris las vegas,Static Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,115.6
2021.06.09.19.40.26_veh-12_01241_01510,130,373,,Non-Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,24.3
2021.06.14.16.48.02_veh-12_02412_02506,33,290,follow the white vehicle in front of you,Dynamic Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,25.7
2021.06.14.13.28.41_veh-12_04719_04892,417,619,make the left turn when the stoplight turns green,Static Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,20.2
2021.10.06.18.52.07_veh-28_00839_00968,41,474,at the very end make a left turn,Non-Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,43.3
2021.06.09.14.03.17_veh-12_00159_00283,239,527,after you pass the stoplight switch to right lane,Static Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,28.8
2021.06.09.17.37.09_veh-12_02324_02434,276,464,,Non-Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,18.8
2021.05.12.22.28.35_veh-35_00025_00115,84,238,,Non-Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,15.4
2021.06.14.18.42.45_veh-12_02099_02167,1,329,make the first left turn then get back on the main road,Non-Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,32.8
2021.10.06.18.52.07_veh-28_00839_00968,326,623,at the end make a left turn and go straight,Non-Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,29.7
2021.06.09.18.23.43_veh-35_00026_00274,545,922,head toward the exit. be on the second left turning lane,Non-Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,37.7
2021.06.14.13.27.42_veh-35_03806_03990,194,472,follow the same path as the white vehicle in front of you,Static Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,27.8
2021.08.17.13.10.50_veh-08_00313_00564,1,756,at the stoplight make a right turn. at the third stoplight makea  left turn. at the stopsign make a right turn.,Static Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,75.5
2021.07.16.00.51.05_veh-17_01938_03243,57,1509,go to the front of the park mgm tram station roundabout,Static Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,145.2
2021.08.17.14.45.12_veh-42_00312_00531,24,1075,"get back on the main road. at the stopsign make a right turn. briefly stop at the curb to let two cars behidn you pass, then get back on the road. at the first intersection make a left turn, at the next one make a right turn. temporarily stop in front of the firetruck then get back on the road. at the next two stopsigns make a left turn",Static Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,105.1
2021.06.14.13.28.41_veh-12_02612_02703,179,351,,Non-Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,17.2
2021.09.15.14.50.05_veh-28_02133_02222,45,357,complete the right turn and at the stopsign make a left turn and go to the far end of the road,Static Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,31.2
2021.09.15.15.34.53_veh-28_01133_01234,52,375,,Non-Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,32.3
2021.10.01.17.52.06_veh-28_00675_00737,86,267,make a right turn at the stoplight and go straight,Static Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,18.1
2021.10.06.17.08.46_veh-28_01127_01287,37,516,make a left turn at the next two green stoplights,Static Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,47.9
2021.06.14.13.27.42_veh-35_03463_03587,107,506,follow the vehicle in front,Dynamic Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,39.9
2021.10.11.07.12.18_veh-50_00866_01534,1156,1676,"make the first three left turns. after passing soloris, make another left turn.",Static Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,52.0
2021.06.14.16.32.09_veh-35_02618_02873,28,858,go into paris las vegas and go around the roundabout,Static Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,83.0
2021.05.12.23.36.44_veh-35_00152_00504,74,1638,,Non-Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,156.4
2021.09.15.13.12.49_veh-39_00022_00104,37,309,,Non-Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,27.2
2021.06.14.16.32.09_veh-35_01219_01415,331,481,,Non-Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,15.0
2021.09.15.14.50.05_veh-28_00578_00896,4,1581,"at the second stoplight make a right turn. do the same two more stoplights ahead, to go toward the envoy hotel.",Static Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,157.7
2021.08.17.17.17.01_veh-45_00123_00191,65,312,,Non-Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,24.7
2021.06.09.14.58.55_veh-35_05473_05626,0,677,complete the left turn at the intersection and proceed straight,Non-Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,67.7
2021.07.16.23.22.27_veh-14_06339_07673,536,2304,,Non-Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,176.8
2021.06.09.14.03.17_veh-12_01603_01708,1,506,when the light turns green make a left turn,Static Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,50.5
2021.06.09.14.50.36_veh-26_04123_04185,40,273,,Non-Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,23.3
2021.07.09.23.23.48_veh-26_04648_06327,68,2455,go to the east side entrance of luxor las vegas then come back to this spot,Static Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,238.7
2021.06.09.17.23.18_veh-38_01761_02019,342,757,make the first left turn after the stopsign,Static Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,41.5
2021.08.17.13.10.50_veh-08_00726_01027,118,1469,at the next two stoplights make a right turn. then at the next stopsign make a left turn. make a right at the next two stoplights.stop temporarily behind the white parked vehicle. then head toward tunnel park,Static Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,135.1
2021.06.14.20.14.09_veh-26_00248_00477,390,955,,Non-Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,56.5
2021.06.14.18.42.45_veh-12_04086_04221,85,288,prepare to make the first left after the stopsign,Static Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,20.3
2021.06.14.16.32.09_veh-35_05038_05402,1021,1518,make a left turn at the green light then proceed straight,Static Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,49.7
2021.08.17.17.17.01_veh-45_00123_00191,13,323,,Non-Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,31.0
2021.10.01.17.52.06_veh-28_01364_01428,8,292,just go straight toward the roundabout,Static Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,28.4
2021.06.09.14.58.55_veh-35_04695_05321,174,1259,"make the first left after the stopsign, then exit and head back on the road to make a left turn at the stoplight",Static Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,108.5
2021.06.23.14.06.20_veh-26_01563_02494,282,1164,go around the roundabout of the ario resort and casino,Static Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,88.2
2021.10.06.17.08.46_veh-28_00498_00621,8,177,at the stopsign make a left turn and then follow the road,Static Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,16.9
2021.06.09.14.50.36_veh-26_03310_03392,59,377,,Non-Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,31.8
2021.06.09.14.03.17_veh-12_03200_03333,4,650,head toward the main road and make a left turn at the intersection,Non-Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,64.6
2021.06.09.14.03.17_veh-12_00015_00099,95,277,,Non-Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,18.2
2021.07.09.20.59.12_veh-38_01853_02043,545,758,,Non-Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,21.3
2021.06.14.14.03.45_veh-38_01547_01613,44,310,follow the same path as the white vehicle you see at the start,Dynamic Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,26.6
2021.09.15.14.00.15_veh-28_00895_00981,77,288,make the first left turn after the roundabout,Static Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,21.1
2021.06.14.20.14.09_veh-26_00024_00237,1,1059,make a left turn at the stoplight and follow the dodge charger,Both,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,105.8
2021.06.14.16.48.02_veh-12_02517_02590,46,278,,Non-Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,23.2
2021.06.09.14.50.36_veh-26_00832_00905,92,261,,Non-Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,16.9
2021.07.16.18.06.21_veh-38_03733_04300,498,2491,go around the roundabout of paris las vegas and then head toward the exit. follow the white suv you see at this stoplight thats also on your lane,Both,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,199.3
2021.06.14.18.33.41_veh-35_01193_01304,8,548,"after the intersection thats past arte museum, switch to the right lane",Static Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,54.0
2021.06.23.21.56.29_veh-35_01603_02401,978,1358,,Non-Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,38.0
2021.06.14.18.42.45_veh-12_05000_05079,22,378,after passing this first intersection switch to the right lane,Static Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,35.6
2021.06.09.14.50.36_veh-26_05055_05138,13,343,go to make a left turn at the stoplight,Static Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,33.0
2021.08.17.15.02.08_veh-45_02003_02086,54,365,at the stopsign make a left turn,Static Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,31.1
2021.06.14.18.33.41_veh-35_03679_03787,3,285,complete the left turn when the light turns green,Static Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,28.2
2021.06.09.12.39.51_veh-26_05620_06003,450,1037,head toward the exit to make a left turn,Non-Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,58.7
2021.06.14.19.22.11_veh-38_01871_02040,300,547,,Non-Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,24.7
2021.09.15.14.27.22_veh-39_00038_00414,776,1686,at the stoplight make a left turn and go straight,Static Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,91.0
